27.5757576,6.1
26.969697,3.8
36.969697,5.7
13.6363636,1.8
56.969697,13
29.0909091,6.2
80.3030303,12
51.5151515,9
34.8484848,5.3
18.4848485,1.7
30.9090909,3.8
33.9393939,5.8
26.0606061,3.7
32.4242424,8.5
32.1212121,4.7
31.8181818,4.7
30.9090909,6
36.969697,5
32.4242424,6.5
33.030303,6.5
27.5757576,7
20,2.7
25.4545455,8.6
31.8181818,6.2
32.4242424,5.8
32.4242424,8.19
28.4848485,5.09
32.4242424,8
37.2727273,6.1
25.7575758,5.9
23.3333333,6
31.5151515,7.2
33.3333333,8.5
19.3939394,3.9
33.030303,8.5
20.9090909,2.5
33.6363636,5
21.2121212,2.35
30.6060606,3.3
30.9090909,4.5
29.3939394,3.5
57.8787879,6.3
30.9090909,4.09
18.7878788,2.2
28.1818182,5.2
30.6060606,3.3
21.2121212,2.35
32.7272727,10
28.7878788,4.4
47.5757576,7.3
32.1212121,4.9
14.8484848,3.72
